"date","away","home","doubleheader","name","team","position","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ab","h","r","rbi","id"
"2018-03-24","한화","넥센","0","고종욱","넥센","좌","0","2000","0","1011","3000",7003,"0",0,"0",0,0,0,3,1,2,0,"46"
"2018-03-24","한화","넥센","0","김민성","넥센","三","0","3000","0","2000","1118",7003,"0",0,"0",0,0,0,3,1,1,1,"119"
"2018-03-24","한화","넥센","0","김지수","넥센","二","0","0","0","0","0",0,"0",0,"0",0,0,0,0,0,0,0,"227"
"2018-03-24","한화","넥센","0","김태균","한화","지","1011","0","1017","0","0",2000,"0",1017,"0",0,0,0,4,3,0,0,"243"
"2018-03-24","한화","넥센","0","김태완","넥센","지","2000","0","1302","3000","0",1011,"0",7102,"0",0,0,0,4,2,1,1,"248"
"2018-03-24","한화","넥센","0","김하성","넥센","유","0","1018","2000","7006","0",7003,"0",2000,"0",0,0,0,5,1,0,0,"256"
"2018-03-24","한화","넥센","0","박동원","넥센","포","0","7004","0","1019","1012",0,"7104",0,"0",0,0,0,4,2,1,2,"383"
"2018-03-24","한화","넥센","0","박병호","넥센","一","0","2000","1017","6002","0",1017,"0",7302,"0",0,0,0,5,2,0,0,"389"
"2018-03-24","한화","넥센","0","서건창","넥센","二","7101","0","7100","1011","2000",0,"7101",0,"0",0,0,0,5,1,0,0,"508"
"2018-03-24","한화","넥센","0","송광민","한화","一","1017","0","1019","0","0",2000,"0",7003,"0",0,0,0,4,2,1,0,"540"
"2018-03-24","한화","넥센","0","양성우","한화","좌","7006","0","7107","0","1017",0,"7002",0,"7101",0,0,0,5,1,0,0,"615"
"2018-03-24","한화","넥센","0","오선진","한화","三","0","7101","0","0","7102",0,"3000",0,"2000",0,0,0,3,0,0,0,"641"
"2018-03-24","한화","넥센","0","이동훈","한화","주","0","0","0","0","0",0,"0",0,"0",0,0,0,0,0,0,0,"740"
"2018-03-24","한화","넥센","0","이용규","한화","중","2000","7003","0","0","7405",0,"1019",0,"2000",0,0,0,5,1,0,1,"788"
"2018-03-24","한화","넥센","0","이정후","넥센","중좌","0","3000","0","1117","7005",0,"1116",0,"0",0,0,0,3,2,1,1,"818"
"2018-03-24","한화","넥센","0","임병욱","넥센","중","0","0","0","0","0",0,"0",0,"0",0,0,0,0,0,0,0,"871"
"2018-03-24","한화","넥센","0","정경운","한화","二","0","0","0","0","0",0,"0",2000,"0",0,0,0,1,0,0,0,"930"
"2018-03-24","한화","넥센","0","정근우","한화","二","7104","0","0","2000","0",0,"7102",0,"0",0,0,0,3,0,0,0,"933"
"2018-03-24","한화","넥센","0","지성준","한화","포","0","0","0","0","0",0,"0",0,"1011",0,0,0,1,1,0,0,"1016"
"2018-03-24","한화","넥센","0","초이스","넥센","우","2000","0","2000","2000","7005",0,"7003",0,"0",0,0,0,5,0,0,0,"1038"
"2018-03-24","한화","넥센","0","최윤석","한화","유","0","0","0","0","0",0,"0",0,"0",0,0,0,0,0,0,0,"1067"
"2018-03-24","한화","넥센","0","최재훈","한화","포","0","1016","0","2000","0",0,"2000",0,"0",0,0,0,3,1,0,0,"1070"
"2018-03-24","한화","넥센","0","하주석","한화","유","1017","0","7005","0","0",7003,"0",7100,"0",0,0,0,4,1,0,1,"1122"
"2018-03-24","한화","넥센","0","호잉","한화","우","0","1008","0","7101","0",0,"1201",0,"1018",0,0,0,4,3,2,0,"1158"
"2018-03-25","한화","넥센","0","고종욱","넥센","좌","0","2000","0","7102","0",0,"0",0,"0",0,0,0,2,0,0,0,"46"
"2018-03-25","한화","넥센","0","김민성","넥센","三","0","2000","0","0","7102",0,"1303",0,"0",0,0,0,3,1,1,1,"119"
"2018-03-25","한화","넥센","0","김태균","한화","지","2000","0","7006","0","1011",0,"2000",0,"0",0,0,0,4,1,0,1,"243"
"2018-03-25","한화","넥센","0","김태완","넥센","지","2000","0","0","2000","0",7005,"0",2000,"0",0,0,0,4,0,0,0,"248"
"2018-03-25","한화","넥센","0","김하성","넥센","유","0","7005","0","1019","0",0,"7101",0,"7407",0,0,0,4,1,0,0,"256"
"2018-03-25","한화","넥센","0","박동원","넥센","타포","0","0","0","0","7102",0,"0",2000,"0",0,0,0,2,0,0,0,"383"
"2018-03-25","한화","넥센","0","박병호","넥센","一","0","3100","0","3000","0",7006,"0",0,"2000",0,0,0,2,0,0,0,"389"
"2018-03-25","한화","넥센","0","서건창","넥센","二","7100","0","7005","0","0",7006,"0",2000,"0",0,0,0,4,0,0,0,"508"
"2018-03-25","한화","넥센","0","송광민","한화","一","1011","0","1010","0","1116",0,"7005",0,"7101",0,0,0,5,3,1,2,"540"
"2018-03-25","한화","넥센","0","양성우","한화","좌","3100","0","1110","0","7005",0,"1116",0,"1011",0,0,0,4,3,1,0,"615"
"2018-03-25","한화","넥센","0","오선진","한화","三","0","7104","0","0","7104",7100,"0",0,"7400",0,0,0,4,0,0,0,"641"
"2018-03-25","한화","넥센","0","이용규","한화","중","2000","2000","0","0","1019",0,"2000",0,"7104",0,0,0,5,1,1,0,"788"
"2018-03-25","한화","넥센","0","이정후","넥센","중좌","0","0","1011","0","7101",0,"7003",0,"0",0,0,0,3,1,0,0,"818"
"2018-03-25","한화","넥센","0","임병욱","넥센","중","0","0","0","0","0",0,"0",0,"7004",0,0,0,1,0,0,0,"871"
"2018-03-25","한화","넥센","0","장영석","넥센","타","0","0","0","0","0",0,"2000",0,"0",0,0,0,1,0,0,0,"903"
