"date","away","home","doubleheader","name","team","position","mound","win","lose","draw","hld","sv","inning","restinning","r","er","k","bb","pit","h","hr","ab","tbf","id"
"2018-03-24","한화","넥센","0","김범수","한화","불펜투수","5.8",0,0,0,0,0,0,2,0,0,1,0,13,1,0,3,3,"129"
"2018-03-24","한화","넥센","0","김상수","넥센","불펜투수","8.3",0,0,0,1,0,1,0,0,0,1,0,17,1,0,4,4,"134"
"2018-03-24","한화","넥센","0","로저스","넥센","선발투수","1.1",1,0,0,0,0,6,2,3,2,6,1,106,9,0,26,27,"316"
"2018-03-24","한화","넥센","0","박상원","한화","불펜투수","8.5",0,0,0,0,0,0,1,0,0,1,0,7,0,0,1,1,"392"
"2018-03-24","한화","넥센","0","박주홍","한화","불펜투수","6.6",0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,2,"432"
"2018-03-24","한화","넥센","0","샘슨","한화","선발투수","1.1",0,1,0,0,0,4,0,6,5,8,4,110,8,1,21,25,"507"
"2018-03-24","한화","넥센","0","서균","한화","불펜투수","7.2",0,0,0,0,0,1,0,0,0,0,0,10,0,0,3,3,"509"
"2018-03-24","한화","넥센","0","송은범","한화","불펜투수","7.8",0,0,0,0,0,0,2,0,0,0,0,14,1,0,3,3,"547"
"2018-03-24","한화","넥센","0","심수창","한화","불펜투수","5.2",0,0,0,0,0,0,2,0,0,0,0,16,2,0,4,4,"583"
"2018-03-24","한화","넥센","0","이보근","넥센","불펜투수","7.1",0,0,0,1,0,0,1,0,0,0,0,8,1,0,2,2,"753"
"2018-03-24","한화","넥센","0","조상우","넥센","불펜투수","9.7",0,0,0,0,1,1,0,0,0,2,0,21,2,0,5,5,"985"
"2018-03-25","한화","넥센","0","김선기","넥센","불펜투수","7.3",0,0,0,0,0,1,2,1,1,2,0,22,1,1,6,6,"141"
"2018-03-25","한화","넥센","0","김성민","넥센","불펜투수","6.7",0,0,0,0,0,1,1,0,0,3,0,20,1,0,5,5,"146"
"2018-03-25","한화","넥센","0","박상원","한화","불펜투수","8.3",0,0,0,1,0,0,1,0,0,1,0,5,0,0,1,1,"392"
"2018-03-25","한화","넥센","0","박주홍","한화","불펜투수","8.1",0,0,0,0,0,0,1,0,0,1,0,6,0,0,1,1,"432"
"2018-03-25","한화","넥센","0","서균","한화","불펜투수","8.2",0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,"509"
"2018-03-25","한화","넥센","0","송창식","한화","불펜투수","8.9",0,0,0,0,0,0,1,0,0,1,0,5,0,0,1,1,"551"
"2018-03-25","한화","넥센","0","오주원","넥센","불펜투수","9.9",0,0,0,0,0,1,0,0,0,0,0,20,1,0,4,4,"651"
"2018-03-25","한화","넥센","0","정우람","한화","불펜투수","9.4",0,0,0,0,1,1,0,0,0,1,0,13,0,0,3,3,"955"
"2018-03-25","한화","넥센","0","최원태","넥센","선발투수","1.1",0,1,0,0,0,5,0,3,3,4,3,92,8,0,21,24,"1066"
"2018-03-25","한화","넥센","0","휠러","한화","선발투수","1.1",1,0,0,0,0,7,0,1,1,7,2,105,4,1,24,26,"1190"
"2018-03-27","한화","NC","0","강승현","한화","불펜투수","7.7",0,0,0,0,0,0,2,0,0,1,0,9,1,0,3,3,"22"
"2018-03-27","한화","NC","0","강윤구","NC","불펜투수","4.1",1,0,0,0,0,0,2,0,0,0,0,3,0,0,2,2,"25"
"2018-03-27","한화","NC","0","김범수","한화","불펜투수","8.1",0,0,0,0,0,0,2,0,0,0,1,12,0,0,1,2,"129"
"2018-03-27","한화","NC","0","김진성","NC","불펜투수","8.1",0,0,0,1,0,0,2,0,0,0,0,5,1,0,2,2,"232"
"2018-03-27","한화","NC","0","송은범","한화","불펜투수","4.2",0,0,0,0,0,2,1,0,0,1,0,33,1,0,8,8,"547"
"2018-03-27","한화","NC","0","심수창","한화","불펜투수","6.1",0,0,0,0,0,1,0,3,3,2,0,24,3,1,6,6,"583"
"2018-03-27","한화","NC","0","원종현","NC","불펜투수","7.9",0,0,0,1,0,1,0,0,0,1,2,16,0,0,3,5,"674"
"2018-03-27","한화","NC","0","유원상","NC","불펜투수","5.3",0,0,0,1,0,1,2,0,0,0,1,20,1,0,5,6,"687"
"2018-03-27","한화","NC","0","윤규진","한화","선발투수","1.1",0,1,0,0,0,3,1,6,3,4,4,75,4,1,14,19,"699"
"2018-03-27","한화","NC","0","이민호","NC","불펜투수","8.5",0,0,0,0,0,0,1,3,3,0,0,12,4,2,5,5,"747"
"2018-03-27","한화","NC","0","임창민","NC","불펜투수","9.3",0,0,0,0,1,1,0,0,0,1,0,10,0,0,3,3,"886"
"2018-03-27","한화","NC","0","최금강","NC","선발투수","1.1",0,0,0,0,0,3,2,3,3,4,4,85,4,0,14,18,"1041"
"2018-03-28","한화","NC","0","구창모","NC","선발투수","1.1",0,0,0,0,0,6,0,2,2,4,3,96,5,1,22,25,"59"
"2018-03-28","한화","NC","0","노성호","NC","불펜투수","9.5",0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,"288"
"2018-03-28","한화","NC","0","박상원","한화","불펜투수","9.4",0,0,0,0,0,0,2,0,0,0,1,16,0,0,2,3,"392"
"2018-03-28","한화","NC","0","박주홍","한화","불펜투수","8.1",0,0,0,0,0,0,2,0,0,1,1,17,0,0,2,3,"432"
