"date","away","home","name","id"
"2010-04-02","두산","SK","가득염",1
"2010-04-04","두산","SK","가득염",1
"2010-04-06","기아","SK","가득염",1
"2010-04-07","기아","SK","가득염",1
"2010-04-10","SK","넥센","가득염",1
"2010-04-15","SK","한화","가득염",1
"2010-04-16","삼성","SK","가득염",1
"2010-05-01","LG","SK","가득염",1
"2010-05-02","LG","SK","가득염",1
"2010-05-06","넥센","SK","가득염",1
"2010-05-07","SK","삼성","가득염",1
"2010-05-11","SK","롯데","가득염",1
"2010-05-14","두산","SK","가득염",1
"2010-05-19","넥센","SK","가득염",1
"2010-06-03","한화","SK","가득염",1
"2010-06-06","SK","LG","가득염",1
"2010-06-09","삼성","SK","가득염",1
"2010-07-27","SK","LG","가득염",1
"2010-09-10","SK","한화","가득염",1
"2010-09-24","LG","SK","가득염",1
"2010-09-25","한화","SK","가득염",1
"2013-05-22","넥센","두산","강동연",10
"2014-08-08","넥센","두산","강동연",10
"2016-04-02","두산","삼성","강동연",10
"2016-04-26","SK","두산","강동연",10
"2016-05-04","두산","LG","강동연",10
"2016-05-06","롯데","두산","강동연",10
"2016-05-19","기아","두산","강동연",10
"2016-05-20","두산","롯데","강동연",10
"2016-05-22","두산","롯데","강동연",10
"2016-08-04","LG","두산","강동연",10
"2016-08-05","두산","롯데","강동연",10
"2016-08-06","두산","롯데","강동연",10
"2016-09-18","두산","KT","강동연",10
"2018-09-12","두산","롯데","강동연",10
"2018-09-21","두산","LG","강동연",10
"2018-09-27","두산","한화","강동연",10
"2018-09-28","두산","한화","강동연",10
"2018-10-06","LG","두산","강동연",10
"2018-10-10","SK","두산","강동연",10
"2018-10-11","SK","두산","강동연",10
"2018-10-13","KT","두산","강동연",10
"2017-04-23","롯데","넥센","강동호",12
"2017-04-27","한화","롯데","강동호",12
"2017-05-03","롯데","KT","강동호",12
"2017-05-05","기아","롯데","강동호",12
"2017-05-07","기아","롯데","강동호",12
"2017-05-10","롯데","한화","강동호",12
"2017-05-13","두산","롯데","강동호",12
"2017-05-14","두산","롯데","강동호",12
